City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.59,87,100,7.69,TF,2023-10-25
1,palikir - national government center,6.9248,158.1611,24.41,94,40,1.54,FM,2023-10-25
2,zaozersk,69.4005,32.4476,-7.33,96,67,2.35,RU,2023-10-25
3,olonkinbyen,70.9221,-8.7187,2.15,91,99,4.47,SJ,2023-10-25
4,sampit,-2.5333,112.95,23.77,94,8,1.07,ID,2023-10-25
5,grytviken,-54.2811,-36.5092,3.65,75,93,5.27,GS,2023-10-25
6,adamstown,-25.066,-130.1015,22.48,83,85,7.06,PN,2023-10-25
7,bilibino,68.0546,166.4372,-16.81,98,71,1.77,RU,2023-10-25
8,melilla,35.2937,-2.9383,26.11,56,0,5.66,ES,2023-10-25
9,waitangi,-43.9535,-176.5597,12.12,97,23,0.89,NZ,2023-10-25
10,afaahiti,-17.75,-149.2833,24.93,76,100,2.79,PF,2023-10-25
11,bredasdorp,-34.5322,20.0403,17.57,68,56,4.93,ZA,2023-10-25
12,longyearbyen,78.2186,15.6401,-3.09,80,40,4.12,SJ,2023-10-25
13,port mathurin,-19.6833,63.4167,24.7,81,9,7.76,MU,2023-10-25
14,puerto natales,-51.7236,-72.4875,7.25,87,100,12.35,CL,2023-10-25
15,geraldton,-28.7667,114.6,16.23,88,21,2.57,AU,2023-10-25
16,christchurch,-43.5333,172.6333,18.01,65,96,5.66,NZ,2023-10-25
17,college,64.8569,-147.8028,-8.64,87,40,2.06,US,2023-10-25
18,la punta,-33.1837,-66.3127,18.73,61,90,1.88,AR,2023-10-25
19,san luis de la loma,17.2706,-100.8939,26.1,86,100,1.87,MX,2023-10-25
20,lebork,54.5392,17.7501,8.84,97,100,3.46,PL,2023-10-25
21,hasaki,35.7333,140.8333,14.22,67,47,6.32,JP,2023-10-25
22,west island,-12.1568,96.8225,25.99,89,40,7.2,CC,2023-10-25
23,iqaluit,63.7506,-68.5145,-5.15,67,40,3.6,CA,2023-10-25
24,carloforte,39.145,8.3058,20.94,77,46,9.71,IT,2023-10-25
25,blackmans bay,-43.0167,147.3167,6.07,77,87,0.45,AU,2023-10-25
26,kattivakkam,13.2167,80.3167,29.48,74,31,3.58,IN,2023-10-25
27,yambio,4.5721,28.3955,23.87,88,25,1.77,SS,2023-10-25
28,eforie sud,44.0229,28.6494,22.67,49,70,3.07,RO,2023-10-25
29,asaita,11.5636,41.4394,32.38,43,99,6.36,ET,2023-10-25
30,polyarnyy,69.1989,33.4478,-3.7,93,52,3.1,RU,2023-10-25
31,ust-nera,64.5667,143.2,-22.55,98,67,1.39,RU,2023-10-25
32,manta,-0.95,-80.7333,26.88,74,100,5.66,EC,2023-10-25
33,rabo de peixe,37.8,-25.5833,21.66,99,75,7.72,PT,2023-10-25
34,edinburgh of the seven seas,-37.0676,-12.3116,10.45,57,68,9.39,SH,2023-10-25
35,augusto correa,-1.0217,-46.635,32.13,48,80,4.38,BR,2023-10-25
36,alice springs,-23.7,133.8833,13.75,28,0,3.6,AU,2023-10-25
37,ribeira grande,38.5167,-28.7,21.22,94,75,10.8,PT,2023-10-25
38,guozhen,34.3659,107.359,17.85,44,98,1.17,CN,2023-10-25
39,iskateley,67.6803,53.1512,-0.55,96,100,6.71,RU,2023-10-25
40,fort mcmurray,56.7268,-111.381,-5.23,63,100,4.12,CA,2023-10-25
41,ilulissat,69.2167,-51.1,-2.99,50,40,7.72,GL,2023-10-25
42,happy valley-goose bay,53.3168,-60.3315,10.17,53,20,7.72,CA,2023-10-25
43,tindouf,27.6711,-8.1474,31.25,19,0,5.14,DZ,2023-10-25
44,aguada de pasajeros,22.385,-80.8508,27.82,58,64,6.64,CU,2023-10-25
45,bodo,67.28,14.405,3.76,74,75,7.72,NO,2023-10-25
46,ushuaia,-54.8,-68.3,9.79,87,100,4.63,AR,2023-10-25
47,urangan,-25.3,152.9,22.46,83,0,6.26,AU,2023-10-25
48,khandyga,62.6667,135.6,-14.88,93,100,1.39,RU,2023-10-25
49,greymouth,-42.4667,171.2,11.75,92,100,5.04,NZ,2023-10-25
50,tchintabaraden,15.8969,5.7985,35.27,6,10,4.4,NE,2023-10-25
51,laguna,38.421,-121.4238,15.01,75,100,5.14,US,2023-10-25
52,yellowknife,62.456,-114.3525,-5.33,85,100,4.12,CA,2023-10-25
53,hadibu,12.65,54.0333,27.3,76,88,5.42,YE,2023-10-25
54,angaur state,6.906,134.13,28.8,74,100,5.01,PW,2023-10-25
55,port lincoln,-34.7333,135.8667,11.36,55,5,7.3,AU,2023-10-25
56,rabaul,-4.1967,152.1721,25.79,80,99,2.64,PG,2023-10-25
57,hawaiian paradise park,19.5933,-154.9731,23.91,92,0,2.57,US,2023-10-25
58,humaita,-7.5061,-63.0208,39.57,31,100,1.34,BR,2023-10-25
59,dubai,25.2582,55.3047,31.96,43,0,1.54,AE,2023-10-25
60,rumoi,43.9344,141.6428,10.49,88,3,2.55,JP,2023-10-25
61,jamestown,42.097,-79.2353,22.77,37,0,4.63,US,2023-10-25
62,port elizabeth,-33.918,25.5701,18.51,82,20,5.14,ZA,2023-10-25
63,chonchi,-42.6128,-73.8092,13.56,57,97,1.92,CL,2023-10-25
64,margaret river,-33.95,115.0667,15.44,79,65,3.86,AU,2023-10-25
65,taltal,-25.4,-70.4833,18.89,68,32,2.96,CL,2023-10-25
66,kavaratti,10.5669,72.642,28.86,65,4,1.14,IN,2023-10-25
67,ola,59.5833,151.2833,-3.25,74,7,3.95,RU,2023-10-25
68,weikersheim,49.4806,9.905,14.27,94,75,5.14,DE,2023-10-25
